Time (ns),spi_dual_tb.dut.master_tx_shift_reg
0,b0
310000,b10100101101001011010010110100101
370000,b1001011010010110100101101001010
430000,b10010110100101101001011010010100
490000,b101101001011010010110100101000
550000,b1011010010110100101101001010000
610000,b10110100101101001011010010100000
670000,b1101001011010010110100101000000
730000,b11010010110100101101001010000000
790000,b10100101101001011010010100000000
850000,b1001011010010110100101000000000
910000,b10010110100101101001010000000000
970000,b101101001011010010100000000000
1030000,b1011010010110100101000000000000
1090000,b10110100101101001010000000000000
1150000,b1101001011010010100000000000000
1210000,b11010010110100101000000000000000
1270000,b10100101101001010000000000000000
1330000,b1001011010010100000000000000000
1390000,b10010110100101000000000000000000
1450000,b101101001010000000000000000000
1510000,b1011010010100000000000000000000
1570000,b10110100101000000000000000000000
1630000,b1101001010000000000000000000000
1690000,b11010010100000000000000000000000
1750000,b10100101000000000000000000000000
1810000,b1001010000000000000000000000000
1870000,b10010100000000000000000000000000
1930000,b101000000000000000000000000000
1990000,b1010000000000000000000000000000
2050000,b10100000000000000000000000000000
2110000,b1000000000000000000000000000000
2170000,b10000000000000000000000000000000
2230000,b0
