Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
0,1,1,b1111,0,bx,0,0
10000,1,1,b1111,0,bx,0,0
20000,1,1,b1111,0,bx,0,0
30000,1,1,b1111,0,bx,0,0
40000,1,1,b1111,0,bx,0,0
50000,1,1,b1111,0,bx,0,0
60000,1,1,b1111,0,bx,0,0
70000,1,1,b1111,0,bx,0,0
80000,1,1,b1111,0,bx,0,0
90000,1,1,b1111,0,bx,0,0
100000,1,1,b1111,0,bx,0,0
110000,1,1,b1111,0,bx,0,0
120000,1,1,b1111,0,bx,0,0
130000,1,1,b1111,0,bx,0,0
140000,1,1,b1111,0,bx,0,0
150000,1,1,b1111,0,bx,0,0
160000,1,1,b1111,0,bx,0,0
170000,1,1,b1111,0,bx,0,0
180000,1,1,b1111,0,bx,0,0
190000,1,1,b1111,0,bx,0,0
200000,1,1,b1111,0,bx,0,0
210000,1,1,b1111,0,bx,0,0
220000,1,1,b1111,0,bx,0,0
230000,1,1,b1111,0,bx,0,0
240000,1,1,b1111,0,bx,0,0
250000,1,1,b1111,0,bx,0,0
260000,1,1,b1111,0,bx,0,0
270000,1,1,b1111,0,bx,0,0
280000,1,1,b1111,0,bx,0,0
290000,1,1,b1111,0,bx,0,0
300000,1,1,b1111,0,bx,0,0
310000,0,1,b1110,0,bx,0,1
320000,0,1,b1110,0,bx,0,1
330000,0,0,b1110,0,bx,0,1
340000,0,0,b1110,0,bx,0,1
350000,0,1,b1110,0,bx,0,1
360000,0,1,b1110,0,bx,0,1
370000,0,1,b1110,0,bx,0,0
380000,0,1,b1110,0,bx,0,0
390000,0,0,b1110,0,bx,0,0
400000,0,0,b1110,0,bx,0,0
410000,0,1,b1110,0,bx,0,0
420000,0,1,b1110,0,bx,0,0
430000,0,1,b1110,0,bx,0,1
440000,0,1,b1110,0,bx,0,1
450000,0,0,b1110,0,bx,0,1
460000,0,0,b1110,0,bx,0,1
470000,0,1,b1110,0,bx,0,1
480000,0,1,b1110,0,bx,0,1
490000,0,1,b1110,0,bx,0,0
500000,0,1,b1110,0,bx,0,0
510000,0,0,b1110,0,bx,0,0
520000,0,0,b1110,0,bx,0,0
530000,0,1,b1110,0,bx,0,0
540000,0,1,b1110,0,bx,0,0
550000,0,1,b1110,0,bx,0,0
560000,0,1,b1110,0,bx,0,0
570000,0,0,b1110,0,bx,0,0
580000,0,0,b1110,0,bx,0,0
590000,0,1,b1110,0,bx,0,0
600000,0,1,b1110,0,bx,0,0
610000,0,1,b1110,0,bx,0,1
620000,0,1,b1110,0,bx,0,1
630000,0,0,b1110,0,bx,0,1
640000,0,0,b1110,0,bx,0,1
650000,0,1,b1110,0,bx,0,1
660000,0,1,b1110,0,bx,0,1
670000,0,1,b1110,0,bx,0,0
680000,0,1,b1110,0,bx,0,0
690000,0,0,b1110,0,bx,0,0
700000,0,0,b1110,0,bx,0,0
710000,0,1,b1110,0,bx,0,0
720000,0,1,b1110,0,bx,0,0
730000,0,1,b1110,0,bx,0,1
740000,0,1,b1110,0,bx,0,1
750000,0,0,b1110,0,bx,0,1
760000,0,0,b1110,0,bx,0,1
770000,0,1,b1110,0,bx,0,1
780000,0,1,b1110,0,bx,0,1
790000,0,1,b1110,0,bx,0,1
800000,0,1,b1110,0,bx,0,1
810000,0,0,b1110,0,bx,0,1
820000,0,0,b1110,0,bx,0,1
830000,0,1,b1110,0,bx,0,1
840000,0,1,b1110,0,bx,0,1
850000,0,1,b1110,0,bx,0,0
860000,0,1,b1110,0,bx,0,0
870000,0,0,b1110,0,bx,0,0
880000,0,0,b1110,0,bx,0,0
890000,0,1,b1110,0,bx,0,0
900000,0,1,b1110,0,bx,0,0
910000,0,1,b1110,0,bx,0,1
920000,0,1,b1110,0,bx,0,1
930000,0,0,b1110,0,bx,0,1
940000,0,0,b1110,0,bx,0,1
950000,0,1,b1110,0,bx,0,1
960000,0,1,b1110,0,bx,0,1
970000,0,1,b1110,0,bx,0,0
980000,0,1,b1110,0,bx,0,0
