Time (ns),spi_master_tb.dut.ss_n,spi_master_tb.dut.sclk,spi_master_tb.rx_data,spi_master_tb.dut.mosi,spi_master_tb.dut.irq,spi_master_tb.dut.busy,spi_master_tb.CLOCK_DIVIDER,spi_master_tb.DATA_WIDTH,spi_master_tb.DEFAULT_DATA_ENABLED,spi_master_tb.DEFAULT_DATA_PATTERN,spi_master_tb.DEFAULT_DATA_VALUE,spi_master_tb.FIFO_DEPTH,spi_master_tb.MODE,spi_master_tb.MSB_FIRST,spi_master_tb.NUM_SLAVES,spi_master_tb.SLAVE_ACTIVE_LOW,spi_master_tb.dut.clk,spi_master_tb.dut.miso,spi_master_tb.dut.rst_n,spi_master_tb.dut.start_rx,spi_master_tb.dut.start_tx,spi_master_tb.tx_data,spi_master_tb.dut.CPHA,spi_master_tb.dut.CPOL,spi_master_tb.dut.SS_ACTIVE,spi_master_tb.dut.tx_data,spi_master_tb.dut.CLOCK_DIVIDER,spi_master_tb.dut.COMPLETE,spi_master_tb.dut.DATA_WIDTH,spi_master_tb.dut.DEFAULT_DATA_ENABLED,spi_master_tb.dut.DEFAULT_DATA_PATTERN,spi_master_tb.dut.DEFAULT_DATA_VALUE,spi_master_tb.dut.FIFO_DEPTH,spi_master_tb.dut.IDLE,spi_master_tb.dut.MODE,spi_master_tb.dut.MSB_FIRST,spi_master_tb.dut.NUM_SLAVES,spi_master_tb.dut.RECEIVE,spi_master_tb.dut.SCLK_HALF_PERIOD,spi_master_tb.dut.SETUP,spi_master_tb.dut.SLAVE_ACTIVE_LOW,spi_master_tb.dut.TRANSMIT,spi_master_tb.dut.bit_counter,spi_master_tb.dut.clk_counter,spi_master_tb.dut.default_data,spi_master_tb.dut.last_sclk,spi_master_tb.dut.next_state,spi_master_tb.dut.rx_data,spi_master_tb.dut.rx_shift_reg,spi_master_tb.dut.sclk_gen,spi_master_tb.dut.state,spi_master_tb.dut.tx_shift_reg
0,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
10000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
20000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
30000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
40000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
50000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
60000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
70000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
80000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
90000,1,0,bx,0,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,0,0,0,b0,0,0,0,b0,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b0,bx,b0,x,b0,b0
