Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
0,1,0,bx,0,0,0,b10
10000,1,0,bx,0,0,0,b10
20000,1,0,bx,0,0,0,b10
30000,1,0,bx,0,0,0,b10
40000,1,0,bx,0,0,0,b10
50000,1,0,bx,0,0,0,b10
60000,1,0,bx,0,0,0,b10
70000,1,0,bx,0,0,0,b10
80000,1,0,bx,0,0,0,b10
90000,1,0,bx,0,0,0,b10
100000,1,0,bx,0,0,0,b10
110000,1,x,bx,0,0,0,b10
120000,1,x,bx,0,0,0,b10
130000,1,0,bx,0,0,0,b10
140000,1,0,bx,0,0,0,b10
150000,1,0,bx,0,0,0,b10
160000,1,0,bx,0,0,0,b10
170000,1,0,bx,0,0,0,b10
180000,1,0,bx,0,0,0,b10
190000,1,0,bx,0,0,0,b10
200000,1,0,bx,0,0,0,b10
210000,1,0,bx,0,0,0,b10
220000,1,0,bx,0,0,0,b10
230000,1,0,bx,0,0,0,b10
240000,1,0,bx,0,0,0,b10
250000,1,0,bx,0,0,0,b10
260000,1,0,bx,0,0,0,b10
270000,1,0,bx,0,0,0,b10
280000,1,0,bx,0,0,0,b10
290000,1,0,bx,0,0,0,b10
300000,1,0,bx,0,0,0,b10
310000,0,0,bx,0,0,1,b10
320000,0,0,bx,0,0,1,b10
330000,0,0,bx,0,0,1,b10
340000,0,0,bx,0,0,1,b10
350000,0,0,bx,0,0,1,b10
360000,0,0,bx,0,0,1,b10
370000,0,0,bx,0,0,1,b10
380000,0,0,bx,0,0,1,b10
390000,0,1,bx,1,0,1,b10
400000,0,1,bx,1,0,1,b10
410000,0,1,bx,1,0,1,b10
420000,0,1,bx,1,0,1,b10
430000,0,0,bx,1,0,1,b10
440000,0,0,bx,1,0,1,b10
450000,0,0,bx,1,0,1,b10
460000,0,0,bx,1,0,1,b10
470000,0,1,bx,0,0,1,b10
480000,0,1,bx,0,0,1,b10
490000,0,1,bx,0,0,1,b10
500000,0,1,bx,0,0,1,b10
510000,0,0,bx,0,0,1,b10
520000,0,0,bx,0,0,1,b10
530000,0,0,bx,0,0,1,b10
540000,0,0,bx,0,0,1,b10
550000,0,1,bx,1,0,1,b10
560000,0,1,bx,1,0,1,b10
570000,0,1,bx,1,0,1,b10
580000,0,1,bx,1,0,1,b10
590000,0,0,bx,1,0,1,b10
600000,0,0,bx,1,0,1,b10
610000,0,0,bx,1,0,1,b10
620000,0,0,bx,1,0,1,b10
630000,0,1,bx,0,0,1,b10
640000,0,1,bx,0,0,1,b10
650000,0,1,bx,0,0,1,b10
660000,0,1,bx,0,0,1,b10
670000,0,0,bx,0,0,1,b10
680000,0,0,bx,0,0,1,b10
690000,0,0,bx,0,0,1,b10
700000,0,0,bx,0,0,1,b10
710000,0,1,bx,0,0,1,b10
720000,0,1,bx,0,0,1,b10
730000,0,1,bx,0,0,1,b10
740000,0,1,bx,0,0,1,b10
750000,0,0,bx,0,0,1,b10
760000,0,0,bx,0,0,1,b10
770000,0,0,bx,0,0,1,b10
780000,0,0,bx,0,0,1,b10
790000,0,1,bx,1,0,1,b10
800000,0,1,bx,1,0,1,b10
810000,0,1,bx,1,0,1,b10
820000,0,1,bx,1,0,1,b10
830000,0,0,bx,1,0,1,b10
840000,0,0,bx,1,0,1,b10
850000,0,0,bx,1,0,1,b10
860000,0,0,bx,1,0,1,b10
870000,0,1,bx,0,0,1,b10
880000,0,1,bx,0,0,1,b10
890000,0,1,bx,0,0,1,b10
900000,0,1,bx,0,0,1,b10
910000,0,0,bx,0,0,1,b10
920000,0,0,bx,0,0,1,b10
930000,0,0,bx,0,0,1,b10
940000,0,0,bx,0,0,1,b10
950000,0,1,bx,1,0,1,b10
960000,0,1,bx,1,0,1,b10
970000,1,1,bx,1,1,0,b10
980000,1,1,bx,1,1,0,b10
990000,1,0,b0,1,0,0,b10
