Time (ns),spi_master_tb.dut.last_sclk
0,0
110000,x
130000,0
390000,1
430000,0
470000,1
510000,0
550000,1
590000,0
630000,1
670000,0
710000,1
750000,0
790000,1
830000,0
870000,1
910000,0
950000,1
990000,0
1250000,1
1290000,0
1330000,1
1370000,0
1410000,1
1450000,0
1490000,1
1530000,0
1570000,1
1610000,0
1650000,1
1690000,0
1730000,1
1770000,0
1810000,1
1850000,0
1950000,1
1990000,0
2030000,1
2070000,0
2110000,1
2150000,0
2190000,1
2230000,0
2270000,1
2310000,0
2350000,1
2390000,0
2430000,1
2470000,0
2510000,1
2550000,0
2650000,1
2690000,0
2730000,1
2770000,0
2810000,1
2850000,0
2890000,1
2930000,0
2970000,1
3010000,0
3050000,1
3090000,0
3130000,1
3170000,0
3210000,1
