Time (ns),spi_master_tb.mosi
0,x
0,0
10200,1
10400,1
10600,1
10800,1
11000,1
11200,1
11400,1
11600,1
11800,1
12000,1
12200,1
12400,1
12600,1
12800,1
13000,1
13200,1
13400,1
13600,1
13800,1
18000,1
18200,1
18400,1
18600,1
18800,1
19000,1
19200,1
19400,1
19600,1
19800,1
20000,1
20200,1
20400,1
20600,1
20800,1
21000,1
21200,1
21400,1
21600,1
21800,1
26000,1
26200,1
26400,1
26600,1
26800,1
27000,1
27200,1
27400,1
27600,1
27800,1
28000,1
28200,1
28400,1
28600,1
28800,1
29000,1
29200,1
29400,1
29600,1
29800,1
34000,1
34200,1
34400,1
34600,1
34800,1
35000,1
35200,1
35400,1
35600,1
35800,1
36000,1
36200,1
36400,1
36600,1
36800,1
37000,1
37200,1
37400,1
37600,1
37800,1
