Time (ns),spi_master_tb.sclk
0,1
0,1
10200,0
10400,0
10600,0
10800,0
11000,0
11200,0
11400,0
11600,0
11800,0
14000,0
14200,0
14400,0
14600,0
14800,0
15000,0
15200,0
15400,0
15600,0
15800,0
18000,0
18200,0
18400,0
18600,0
18800,0
19000,0
19200,0
19400,0
19600,0
19800,0
22000,0
22200,0
22400,0
22600,0
22800,0
23000,0
23200,0
23400,0
23600,0
23800,0
26000,0
26200,0
26400,0
26600,0
26800,0
27000,0
27200,0
27400,0
27600,0
27800,0
30000,0
30200,0
30400,0
30600,0
30800,0
31000,0
31200,0
31400,0
31600,0
31800,0
34000,0
34200,0
34400,0
34600,0
34800,0
35000,0
35200,0
35400,0
35600,0
35800,0
38000,0
38200,0
38400,0
38600,0
38800,0
39000,0
39200,0
39400,0
39600,0
39800,0
42000,0
42200,0
42400,0
42600,0
42800,0
43000,0
43200,0
43400,0
43600,0
43800,0
46000,0
46200,0
46400,0
46600,0
46800,0
47000,0
47200,0
47400,0
47600,0
47800,0
50000,0
50200,0
50400,0
50600,0
50800,0
51000,0
51200,0
51400,0
51600,0
51800,0
54000,0
54200,0
54400,0
54600,0
54800,0
55000,0
55200,0
55400,0
55600,0
55800,0
58000,0
58200,0
58400,0
58600,0
58800,0
59000,0
59200,0
59400,0
59600,0
59800,0
62000,0
62200,0
62400,0
62600,0
62800,0
63000,0
63200,0
63400,0
63600,0
63800,0
