Time (ns),spi_master_tb.dut.bit_counter
0,b0
390000,b1
470000,b10
550000,b11
630000,b100
710000,b101
790000,b110
870000,b111
950000,b1000
1190000,b0
1250000,b1
1330000,b10
1410000,b11
1490000,b100
1570000,b101
1650000,b110
1730000,b111
1810000,b1000
1890000,b0
1950000,b1
2030000,b10
2110000,b11
2190000,b100
2270000,b101
2350000,b110
2430000,b111
2510000,b1000
2590000,b0
2650000,b1
2730000,b10
2810000,b11
2890000,b100
2970000,b101
3050000,b110
3130000,b111
3210000,b1000
