Signal Name,Width (bits),Total Changes,Current Value
spi_slave_tb.dut.tx_ready,1,3,1
spi_slave_tb.dut.rx_valid,1,4,0
spi_slave_tb.dut.rx_data,1,2,1
spi_slave_tb.dut.miso,1,1,0
spi_slave_tb.dut.irq,1,2,1
spi_slave_tb.dut.busy,1,3,0
spi_slave_tb.dut.clk,1,99,0
spi_slave_tb.expected_rx,1,2,1
spi_slave_tb.dut.mosi,1,2,1
spi_slave_tb.dut.rst_n,1,2,1
spi_slave_tb.rx_valid_seen,1,2,1
spi_slave_tb.dut.sclk,1,3,0
spi_slave_tb.dut.ss_n,1,3,1
spi_slave_tb.dut.tx_data,1,1,0
spi_slave_tb.i,32,3,b1
spi_slave_tb.timeout_cycles,32,6,b0
spi_slave_tb.dut.debug_bit_count,16,3,b0
spi_slave_tb.dut.debug_state,3,4,b0
spi_slave_tb.dut.irq_clear,1,1,0
spi_slave_tb.dut.sample_edge,1,3,0
spi_slave_tb.dut.shift_edge,1,3,0
spi_slave_tb.dut.ss_released,1,3,1
spi_slave_tb.dut.ss_selected,1,3,0
spi_slave_tb.dut.bit_counter,16,3,b0
spi_slave_tb.dut.busy_reg,1,3,0
spi_slave_tb.dut.default_data,1,1,1
spi_slave_tb.dut.irq_reg,1,2,1
spi_slave_tb.dut.miso_reg,1,1,0
spi_slave_tb.dut.next_state,3,4,b0
spi_slave_tb.dut.rx_data_reg,1,2,1
spi_slave_tb.dut.sclk_prev,1,3,0
spi_slave_tb.dut.sclk_sync,1,3,0
spi_slave_tb.dut.shift_reg_rx,1,2,1
spi_slave_tb.dut.shift_reg_tx,1,1,0
spi_slave_tb.dut.ss_n_prev,1,3,1
spi_slave_tb.dut.ss_n_sync,1,3,1
spi_slave_tb.dut.state,3,4,b0
