Time (ns),IRQ,spi_dual_tb.dut.tx_ready,SS_N,SCLK,spi_dual_tb.dut.rx_valid,DATA,MOSI,MISO,BUSY,spi_dual_tb.dut.clk,spi_dual_tb.expected_slave_rx,spi_dual_tb.dut.master_mode,MISO,MOSI,spi_dual_tb.dut.rst_n,SCLK,spi_dual_tb.slave_rx_valid_seen,SS_N,spi_dual_tb.timeout_cycles,spi_dual_tb.tx_data,spi_dual_tb.dut.tx_valid,spi_dual_tb.i,spi_dual_tb.dut.irq_clear,spi_dual_tb.dut.tx_data,SS_N,DATA,spi_dual_tb.dut.default_data,spi_dual_tb.dut.master_bit_counter,spi_dual_tb.dut.master_busy,spi_dual_tb.dut.master_rx_data_buffer,spi_dual_tb.dut.master_rx_shift_reg,spi_dual_tb.dut.master_rx_valid_buffer,spi_dual_tb.dut.master_sclk_counter,spi_dual_tb.dut.master_sclk_en,spi_dual_tb.dut.master_ss_n_reg,spi_dual_tb.dut.master_start_rx,spi_dual_tb.dut.master_start_tx,spi_dual_tb.dut.master_tx_ready_buffer,spi_dual_tb.dut.master_tx_shift_reg,spi_dual_tb.dut.slave_bit_counter,spi_dual_tb.dut.slave_busy_buffer,spi_dual_tb.dut.slave_rx_data_buffer,spi_dual_tb.dut.slave_rx_valid_buffer,spi_dual_tb.dut.slave_sclk_last_state,spi_dual_tb.dut.slave_ss_last_state,spi_dual_tb.dut.slave_timeout_counter,spi_dual_tb.dut.slave_transaction_active,spi_dual_tb.dut.slave_tx_ready_buffer,spi_dual_tb.dut.slave_tx_shift_reg,spi_dual_tb.wait_master.timeout
0,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,bx,bx
10000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
20000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
30000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
40000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
50000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
60000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
70000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
80000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
90000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,0,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
100000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
110000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
120000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
130000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
140000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
150000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
160000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
170000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
180000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
190000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
200000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
210000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
220000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
230000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
240000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
250000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
260000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
