Time (ns),spi_dual_tb.dut.rx_data
0,bx
2170000,b0
2950000,b1
3050000,b11
3150000,b110
3250000,b1101
3350000,b11010
3450000,b110100
3550000,b1101001
3650000,b11010010
3750000,b110100101
3850000,b1101001011
3950000,b11010010110
4050000,b110100101101
4150000,b1101001011010
4250000,b11010010110100
4350000,b110100101101001
4450000,b1101001011010010
4550000,b11010010110100101
4650000,b110100101101001011
4750000,b1101001011010010110
4850000,b11010010110100101101
4950000,b110100101101001011010
5050000,b1101001011010010110100
5150000,b11010010110100101101001
5250000,b110100101101001011010010
5350000,b1101001011010010110100101
5450000,b11010010110100101101001011
5550000,b110100101101001011010010110
5650000,b1101001011010010110100101101
5750000,b11010010110100101101001011010
