Time (ns),spi_dual_tb.dut.slave_timeout_counter
0,b0
2810000,b1
2830000,b10
2850000,b11
2870000,b100
2890000,b101
2910000,b110
2930000,b111
2950000,b1000
2970000,b1001
2990000,b1010
3010000,b1011
3030000,b1100
3050000,b1101
3070000,b1110
3090000,b1111
3110000,b10000
3130000,b10001
3150000,b10010
3170000,b10011
3190000,b10100
3210000,b10101
3230000,b10110
3250000,b10111
3270000,b11000
3290000,b11001
3310000,b11010
3330000,b11011
3350000,b11100
3370000,b11101
3390000,b11110
3410000,b11111
3430000,b100000
3450000,b100001
3470000,b100010
3490000,b100011
3510000,b100100
3530000,b100101
3550000,b100110
3570000,b100111
3590000,b101000
3610000,b101001
3630000,b101010
3650000,b101011
3670000,b101100
3690000,b101101
3710000,b101110
3730000,b101111
3750000,b110000
3770000,b110001
3790000,b110010
3810000,b110011
3830000,b110100
3850000,b110101
3870000,b110110
3890000,b110111
3910000,b111000
3930000,b111001
3950000,b111010
3970000,b111011
3990000,b111100
4010000,b111101
4030000,b111110
4050000,b111111
4070000,b1000000
4090000,b1000001
4110000,b1000010
4130000,b1000011
4150000,b1000100
4170000,b1000101
4190000,b1000110
4210000,b1000111
4230000,b1001000
4250000,b1001001
4270000,b1001010
4290000,b1001011
4310000,b1001100
4330000,b1001101
4350000,b1001110
4370000,b1001111
4390000,b1010000
4410000,b1010001
4430000,b1010010
4450000,b1010011
4470000,b1010100
4490000,b1010101
4510000,b1010110
4530000,b1010111
4550000,b1011000
4570000,b1011001
4590000,b1011010
4610000,b1011011
4630000,b1011100
4650000,b1011101
4670000,b1011110
4690000,b1011111
4710000,b1100000
4730000,b1100001
4750000,b1100010
4770000,b1100011
4790000,b1100100
4810000,b1100101
4830000,b1100110
4850000,b1100111
4870000,b1101000
4890000,b1101001
4910000,b1101010
4930000,b1101011
4950000,b1101100
4970000,b1101101
4990000,b1101110
5010000,b1101111
5030000,b1110000
5050000,b1110001
5070000,b1110010
5090000,b1110011
5110000,b1110100
5130000,b1110101
5150000,b1110110
5170000,b1110111
5190000,b1111000
5210000,b1111001
5230000,b1111010
5250000,b1111011
5270000,b1111100
5290000,b1111101
5310000,b1111110
5330000,b1111111
5350000,b10000000
5370000,b10000001
5390000,b10000010
5410000,b10000011
5430000,b10000100
5450000,b10000101
5470000,b10000110
5490000,b10000111
5510000,b10001000
5530000,b10001001
5550000,b10001010
5570000,b10001011
5590000,b10001100
5610000,b10001101
5630000,b10001110
5650000,b10001111
5670000,b10010000
5690000,b10010001
5710000,b10010010
5730000,b10010011
5750000,b10010100
5770000,b10010101
5790000,b10010110
5810000,b10010111
5830000,b10011000
5850000,b10011001
5870000,b10011010
5890000,b10011011
5910000,b0
