Time (ns),spi_master_tb.dut.rx_shift_reg
0,b0
6130000,b1
6290000,b11
6450000,b111
6610000,b1111
6770000,b11111
6930000,b111111
7090000,b1111111
7250000,b11111111
7410000,b111111111
7570000,b1111111111
7730000,b11111111111
7890000,b111111111111
8050000,b1111111111111
8210000,b11111111111111
8370000,b111111111111111
8430000,b0
8610000,b1
8770000,b11
8930000,b111
9090000,b1111
9250000,b11111
9410000,b111111
9570000,b1111111
9730000,b11111111
9890000,b111111111
10050000,b1111111111
10210000,b11111111111
10370000,b111111111111
10530000,b1111111111111
10690000,b11111111111111
10850000,b111111111111111
11010000,b1111111111111111
11070000,b0
11250000,b1
11410000,b11
11570000,b111
11730000,b1111
11890000,b11111
12050000,b111111
12210000,b1111111
12370000,b11111111
12530000,b111111111
12690000,b1111111111
12850000,b11111111111
13010000,b111111111111
13170000,b1111111111111
13330000,b11111111111111
13490000,b111111111111111
13650000,b1111111111111111
