Time (ns),spi_master_tb.dut.ss_n
0,b11111111
310000,b11110111
330000,b11110111
2910000,b11111111
3130000,b11110111
3150000,b11110111
5730000,b11111111
5770000,b11110111
5790000,b11110111
6130000,b11110111
6290000,b11110111
6450000,b11110111
6610000,b11110111
6770000,b11110111
6930000,b11110111
7090000,b11110111
7250000,b11110111
7410000,b11110111
7570000,b11110111
7730000,b11110111
7890000,b11110111
8050000,b11110111
8210000,b11110111
8370000,b11111111
8410000,b11110111
8430000,b11110111
8610000,b11110111
8770000,b11110111
8930000,b11110111
9090000,b11110111
9250000,b11110111
9410000,b11110111
9570000,b11110111
9730000,b11110111
9890000,b11110111
10050000,b11110111
10210000,b11110111
10370000,b11110111
10530000,b11110111
10690000,b11110111
10850000,b11110111
11010000,b11111111
11050000,b11110111
11070000,b11110111
11250000,b11110111
11410000,b11110111
11570000,b11110111
11730000,b11110111
11890000,b11110111
12050000,b11110111
12210000,b11110111
12370000,b11110111
12530000,b11110111
12690000,b11110111
12850000,b11110111
13010000,b11110111
13170000,b11110111
13330000,b11110111
13490000,b11110111
13650000,b11111111
