Time (ns),spi_master_tb.timeout_cycles
0,bx
350000,b0
370000,b1
390000,b10
410000,b11
430000,b100
450000,b101
470000,b110
490000,b111
510000,b1000
530000,b1001
550000,b1010
570000,b1011
590000,b1100
610000,b1101
630000,b1110
650000,b1111
670000,b10000
690000,b10001
710000,b10010
730000,b10011
750000,b10100
770000,b10101
790000,b10110
810000,b10111
830000,b11000
850000,b11001
870000,b11010
890000,b11011
910000,b11100
930000,b11101
950000,b11110
970000,b11111
990000,b100000
1010000,b100001
1030000,b100010
1050000,b100011
1070000,b100100
1090000,b100101
1110000,b100110
1130000,b100111
1150000,b101000
1170000,b101001
1190000,b101010
1210000,b101011
1230000,b101100
1250000,b101101
1270000,b101110
1290000,b101111
1310000,b110000
1330000,b110001
1350000,b110010
1370000,b110011
1390000,b110100
1410000,b110101
1430000,b110110
1450000,b110111
1470000,b111000
1490000,b111001
1510000,b111010
1530000,b111011
1550000,b111100
1570000,b111101
1590000,b111110
1610000,b111111
1630000,b1000000
1650000,b1000001
1670000,b1000010
1690000,b1000011
1710000,b1000100
1730000,b1000101
1750000,b1000110
1770000,b1000111
1790000,b1001000
1810000,b1001001
1830000,b1001010
1850000,b1001011
1870000,b1001100
1890000,b1001101
1910000,b1001110
1930000,b1001111
1950000,b1010000
1970000,b1010001
1990000,b1010010
2010000,b1010011
2030000,b1010100
2050000,b1010101
2070000,b1010110
2090000,b1010111
2110000,b1011000
2130000,b1011001
2150000,b1011010
2170000,b1011011
2190000,b1011100
2210000,b1011101
2230000,b1011110
2250000,b1011111
2270000,b1100000
2290000,b1100001
2310000,b1100010
2330000,b1100011
2350000,b1100100
2370000,b1100101
2390000,b1100110
2410000,b1100111
2430000,b1101000
2450000,b1101001
2470000,b1101010
2490000,b1101011
2510000,b1101100
2530000,b1101101
2550000,b1101110
2570000,b1101111
2590000,b1110000
2610000,b1110001
2630000,b1110010
2650000,b1110011
2670000,b1110100
2690000,b1110101
2710000,b1110110
2730000,b1110111
2750000,b1111000
2770000,b1111001
2790000,b1111010
2810000,b1111011
2830000,b1111100
2850000,b1111101
2870000,b1111110
2890000,b1111111
2910000,b10000000
2930000,b10000001
3180000,b0
3200000,b1
3220000,b10
3240000,b11
3260000,b100
3280000,b101
3300000,b110
3320000,b111
3340000,b1000
3360000,b1001
3380000,b1010
3400000,b1011
3420000,b1100
3440000,b1101
3460000,b1110
3480000,b1111
3500000,b10000
3520000,b10001
3540000,b10010
3560000,b10011
3580000,b10100
3600000,b10101
3620000,b10110
3640000,b10111
3660000,b11000
3680000,b11001
3700000,b11010
3720000,b11011
3740000,b11100
3760000,b11101
3780000,b11110
3800000,b11111
3820000,b100000
3840000,b100001
3860000,b100010
3880000,b100011
3900000,b100100
3920000,b100101
3940000,b100110
3960000,b100111
3980000,b101000
4000000,b101001
4020000,b101010
4040000,b101011
4060000,b101100
4080000,b101101
4100000,b101110
4120000,b101111
4140000,b110000
4160000,b110001
4180000,b110010
4200000,b110011
4220000,b110100
4240000,b110101
4260000,b110110
4280000,b110111
4300000,b111000
4320000,b111001
4340000,b111010
4360000,b111011
4380000,b111100
4400000,b111101
4420000,b111110
4440000,b111111
4460000,b1000000
4480000,b1000001
4500000,b1000010
4520000,b1000011
4540000,b1000100
4560000,b1000101
4580000,b1000110
4600000,b1000111
4620000,b1001000
4640000,b1001001
4660000,b1001010
4680000,b1001011
4700000,b1001100
4720000,b1001101
4740000,b1001110
4760000,b1001111
4780000,b1010000
4800000,b1010001
4820000,b1010010
4840000,b1010011
4860000,b1010100
4880000,b1010101
4900000,b1010110
4920000,b1010111
4940000,b1011000
4960000,b1011001
4980000,b1011010
5000000,b1011011
5020000,b1011100
5040000,b1011101
5060000,b1011110
5080000,b1011111
5100000,b1100000
5120000,b1100001
5140000,b1100010
5160000,b1100011
5180000,b1100100
5200000,b1100101
5220000,b1100110
5240000,b1100111
5260000,b1101000
5280000,b1101001
5300000,b1101010
5320000,b1101011
5340000,b1101100
5360000,b1101101
5380000,b1101110
5400000,b1101111
5420000,b1110000
5440000,b1110001
5460000,b1110010
5480000,b1110011
5500000,b1110100
5520000,b1110101
5540000,b1110110
5560000,b1110111
5580000,b1111000
5600000,b1111001
5620000,b1111010
5640000,b1111011
5660000,b1111100
5680000,b1111101
5700000,b1111110
5720000,b1111111
5740000,b10000000
5790000,b0
6010000,b1
6030000,b10
6050000,b11
6070000,b100
6090000,b101
6110000,b110
6130000,b111
6150000,b1000
6170000,b1001
6190000,b1010
6210000,b1011
6230000,b1100
6250000,b1101
6270000,b1110
6290000,b1111
6310000,b10000
6330000,b10001
6350000,b10010
6370000,b10011
6390000,b10100
6410000,b10101
6430000,b10110
6450000,b10111
6470000,b11000
6490000,b11001
6510000,b11010
6530000,b11011
6550000,b11100
6570000,b11101
6590000,b11110
6610000,b11111
6630000,b100000
6650000,b100001
6670000,b100010
6690000,b100011
6710000,b100100
6730000,b100101
6750000,b100110
6770000,b100111
6790000,b101000
6810000,b101001
6830000,b101010
6850000,b101011
6870000,b101100
6890000,b101101
6910000,b101110
6930000,b101111
6950000,b110000
6970000,b110001
6990000,b110010
7010000,b110011
7030000,b110100
7050000,b110101
7070000,b110110
7090000,b110111
7110000,b111000
7130000,b111001
7150000,b111010
7170000,b111011
7190000,b111100
7210000,b111101
7230000,b111110
7250000,b111111
7270000,b1000000
7290000,b1000001
7310000,b1000010
7330000,b1000011
