Time (ns),spi_master_tb.dut.mosi
0,0
430000,1
590000,0
750000,1
910000,0
1070000,1
1230000,0
1390000,1
1550000,0
1870000,1
2030000,0
2190000,1
2350000,0
2510000,1
2670000,0
2830000,1
3250000,0
3410000,1
3570000,0
3730000,1
3890000,0
4050000,1
4210000,0
4370000,1
4530000,0
4690000,1
4850000,0
5010000,1
5170000,0
5330000,1
5490000,0
5650000,1
5890000,0
6050000,1
6210000,0
6370000,1
6530000,0
6690000,1
6850000,0
7010000,1
7170000,0
7330000,1
7490000,0
7650000,1
7810000,0
7970000,1
8130000,0
8290000,1
9810000,0
11170000,1
11330000,0
11490000,1
11650000,0
11810000,1
11970000,0
12130000,1
12770000,0
13090000,1
13410000,0
13570000,1
