Time (ns),spi_master_tb.dut.sclk
0,1
430000,0
510000,1
590000,0
670000,1
750000,0
830000,1
910000,0
990000,1
1070000,0
1150000,1
1230000,0
1310000,1
1390000,0
1470000,1
1550000,0
1630000,1
1710000,0
1790000,1
1870000,0
1950000,1
2030000,0
2110000,1
2190000,0
2270000,1
2350000,0
2430000,1
2510000,0
2590000,1
2670000,0
2750000,1
2830000,0
2910000,1
3250000,0
3330000,1
3410000,0
3490000,1
3570000,0
3650000,1
3730000,0
3810000,1
3890000,0
3970000,1
4050000,0
4130000,1
4210000,0
4290000,1
4370000,0
4450000,1
4530000,0
4610000,1
4690000,0
4770000,1
4850000,0
4930000,1
5010000,0
5090000,1
5170000,0
5250000,1
5330000,0
5410000,1
5490000,0
5570000,1
5650000,0
5730000,1
5890000,0
5970000,1
6050000,0
6130000,1
6210000,0
6290000,1
6370000,0
6450000,1
6530000,0
6610000,1
6690000,0
6770000,1
6850000,0
6930000,1
7010000,0
7090000,1
7170000,0
7250000,1
7330000,0
7410000,1
7490000,0
7570000,1
7650000,0
7730000,1
7810000,0
7890000,1
7970000,0
8050000,1
8130000,0
8210000,1
8290000,0
8370000,1
8530000,0
8610000,1
8690000,0
8770000,1
8850000,0
8930000,1
9010000,0
9090000,1
9170000,0
9250000,1
9330000,0
9410000,1
9490000,0
9570000,1
9650000,0
9730000,1
9810000,0
9890000,1
9970000,0
10050000,1
10130000,0
10210000,1
10290000,0
10370000,1
10450000,0
10530000,1
10610000,0
10690000,1
10770000,0
10850000,1
10930000,0
11010000,1
11170000,0
11250000,1
11330000,0
11410000,1
11490000,0
11570000,1
11650000,0
11730000,1
11810000,0
11890000,1
11970000,0
12050000,1
12130000,0
12210000,1
12290000,0
12370000,1
12450000,0
12530000,1
12610000,0
12690000,1
12770000,0
12850000,1
12930000,0
13010000,1
13090000,0
13170000,1
13250000,0
13330000,1
13410000,0
13490000,1
13570000,0
13650000,1
