Time (ns),SS_N,SCLK,DATA,MOSI,IRQ,BUSY,spi_master_tb.dut.clk,MISO,spi_master_tb.dut.rst_n,spi_master_tb.dut.start_rx,spi_master_tb.dut.start_tx,spi_master_tb.tx_data,spi_master_tb.ss_idx,spi_master_tb.timeout_cycles,spi_master_tb.dut.CPHA,spi_master_tb.dut.CPOL,spi_master_tb.dut.SS_ACTIVE,spi_master_tb.dut.tx_data,spi_master_tb.dut.bit_counter,spi_master_tb.dut.clk_counter,spi_master_tb.dut.default_data,spi_master_tb.dut.last_sclk,spi_master_tb.dut.next_state,DATA,spi_master_tb.dut.rx_shift_reg,spi_master_tb.dut.sclk_gen,SS_N,spi_master_tb.dut.state,spi_master_tb.dut.tx_shift_reg,spi_master_tb.assert_all_ss_inactive.tag,spi_master_tb.assert_selected_ss_active.tag,spi_master_tb.wait_for_busy_assert.tag,spi_master_tb.wait_for_busy_assert.max_cycles,spi_master_tb.wait_for_not_busy.tag,spi_master_tb.wait_for_not_busy.max_cycles
0,b11111111,1,bx,0,0,0,0,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
10000,b11111111,1,bx,0,0,0,1,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
20000,b11111111,1,bx,0,0,0,0,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
30000,b11111111,1,bx,0,0,0,1,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
40000,b11111111,1,bx,0,0,0,0,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
50000,b11111111,1,bx,0,0,0,1,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
60000,b11111111,1,bx,0,0,0,0,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
70000,b11111111,1,bx,0,0,0,1,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
80000,b11111111,1,bx,0,0,0,0,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
90000,b11111111,1,bx,0,0,0,1,0,0,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
100000,b11111111,1,bx,0,0,0,0,0,1,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
110000,b11111111,1,bx,0,0,0,1,0,1,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
