Time (ns),spi_master_tb.dut.clk_counter
0,b0
350000,b1
370000,b10
390000,b11
410000,b0
430000,b1
450000,b10
470000,b11
490000,b0
510000,b1
530000,b10
550000,b11
570000,b0
590000,b1
610000,b10
630000,b11
650000,b0
670000,b1
690000,b10
710000,b11
730000,b0
750000,b1
770000,b10
790000,b11
810000,b0
830000,b1
850000,b10
870000,b11
890000,b0
910000,b1
930000,b10
950000,b11
970000,b0
990000,b1
1010000,b10
1030000,b11
1050000,b0
1070000,b1
1090000,b10
1110000,b11
1130000,b0
1150000,b1
1170000,b10
1190000,b11
1210000,b0
1230000,b1
1250000,b10
1270000,b11
1290000,b0
1310000,b1
1330000,b10
1350000,b11
1370000,b0
1390000,b1
1410000,b10
1430000,b11
1450000,b0
1470000,b1
1490000,b10
1510000,b11
1530000,b0
1550000,b1
1570000,b10
1590000,b11
1610000,b0
1630000,b1
1650000,b10
1670000,b11
1690000,b0
1710000,b1
1730000,b10
1750000,b11
1770000,b0
1790000,b1
1810000,b10
1830000,b11
1850000,b0
1870000,b1
1890000,b10
1910000,b11
1930000,b0
1950000,b1
1970000,b10
1990000,b11
2010000,b0
2030000,b1
2050000,b10
2070000,b11
2090000,b0
2110000,b1
2130000,b10
2150000,b11
2170000,b0
2190000,b1
2210000,b10
2230000,b11
2250000,b0
2270000,b1
2290000,b10
2310000,b11
2330000,b0
2350000,b1
2370000,b10
2390000,b11
2410000,b0
2430000,b1
2450000,b10
2470000,b11
2490000,b0
2510000,b1
2530000,b10
2550000,b11
2570000,b0
2590000,b1
2610000,b10
2630000,b11
2650000,b0
2670000,b1
2690000,b10
2710000,b11
2730000,b0
2750000,b1
2770000,b10
2790000,b11
2810000,b0
2830000,b1
2850000,b10
2870000,b11
2890000,b0
2910000,b1
2930000,b0
3170000,b1
3190000,b10
3210000,b11
3230000,b0
3250000,b1
3270000,b10
3290000,b11
3310000,b0
3330000,b1
3350000,b10
3370000,b11
3390000,b0
3410000,b1
3430000,b10
3450000,b11
3470000,b0
3490000,b1
3510000,b10
3530000,b11
3550000,b0
3570000,b1
3590000,b10
3610000,b11
3630000,b0
3650000,b1
3670000,b10
3690000,b11
3710000,b0
3730000,b1
3750000,b10
3770000,b11
3790000,b0
3810000,b1
3830000,b10
3850000,b11
3870000,b0
3890000,b1
3910000,b10
3930000,b11
3950000,b0
3970000,b1
3990000,b10
4010000,b11
4030000,b0
4050000,b1
4070000,b10
4090000,b11
4110000,b0
4130000,b1
4150000,b10
4170000,b11
4190000,b0
4210000,b1
4230000,b10
4250000,b11
4270000,b0
4290000,b1
4310000,b10
4330000,b11
4350000,b0
4370000,b1
4390000,b10
4410000,b11
4430000,b0
4450000,b1
4470000,b10
4490000,b11
4510000,b0
4530000,b1
4550000,b10
4570000,b11
4590000,b0
4610000,b1
4630000,b10
4650000,b11
4670000,b0
4690000,b1
4710000,b10
4730000,b11
4750000,b0
4770000,b1
4790000,b10
4810000,b11
4830000,b0
4850000,b1
4870000,b10
4890000,b11
4910000,b0
4930000,b1
4950000,b10
4970000,b11
4990000,b0
5010000,b1
5030000,b10
5050000,b11
5070000,b0
5090000,b1
5110000,b10
5130000,b11
5150000,b0
5170000,b1
5190000,b10
5210000,b11
5230000,b0
5250000,b1
5270000,b10
5290000,b11
5310000,b0
5330000,b1
5350000,b10
5370000,b11
5390000,b0
5410000,b1
5430000,b10
5450000,b11
5470000,b0
5490000,b1
5510000,b10
5530000,b11
5550000,b0
5570000,b1
5590000,b10
5610000,b11
5630000,b0
5650000,b1
5670000,b10
5690000,b11
5710000,b0
5730000,b1
5750000,b0
5810000,b1
5830000,b10
5850000,b11
5870000,b0
5890000,b1
5910000,b10
5930000,b11
5950000,b0
5970000,b1
