Time (ns),spi_master_tb.dut.sclk_gen
0,1
410000,0
490000,1
570000,0
650000,1
730000,0
810000,1
890000,0
970000,1
1050000,0
1130000,1
1210000,0
1290000,1
1370000,0
1450000,1
1530000,0
1610000,1
1690000,0
1770000,1
1850000,0
1930000,1
2010000,0
2090000,1
2170000,0
2250000,1
2330000,0
2410000,1
2490000,0
2570000,1
2650000,0
2730000,1
2810000,0
2890000,1
3230000,0
3310000,1
3390000,0
3470000,1
3550000,0
3630000,1
3710000,0
3790000,1
3870000,0
3950000,1
4030000,0
4110000,1
4190000,0
4270000,1
4350000,0
4430000,1
4510000,0
4590000,1
4670000,0
4750000,1
4830000,0
4910000,1
4990000,0
5070000,1
5150000,0
5230000,1
5310000,0
5390000,1
5470000,0
5550000,1
5630000,0
5710000,1
5870000,0
5950000,1
6030000,0
6110000,1
6190000,0
6270000,1
6350000,0
6430000,1
6510000,0
6590000,1
6670000,0
6750000,1
6830000,0
6910000,1
6990000,0
7070000,1
7150000,0
7230000,1
7310000,0
7390000,1
7470000,0
7550000,1
7630000,0
7710000,1
7790000,0
7870000,1
7950000,0
8030000,1
8110000,0
8190000,1
8270000,0
8350000,1
8510000,0
8590000,1
8670000,0
8750000,1
8830000,0
8910000,1
8990000,0
9070000,1
9150000,0
9230000,1
9310000,0
9390000,1
9470000,0
9550000,1
9630000,0
9710000,1
9790000,0
9870000,1
9950000,0
10030000,1
10110000,0
10190000,1
10270000,0
10350000,1
10430000,0
10510000,1
10590000,0
10670000,1
10750000,0
10830000,1
10910000,0
10990000,1
11150000,0
11230000,1
11310000,0
11390000,1
11470000,0
11550000,1
11630000,0
11710000,1
11790000,0
11870000,1
11950000,0
12030000,1
12110000,0
12190000,1
12270000,0
12350000,1
12430000,0
12510000,1
12590000,0
12670000,1
12750000,0
12830000,1
12910000,0
12990000,1
13070000,0
13150000,1
13230000,0
13310000,1
13390000,0
13470000,1
13550000,0
13630000,1
