Time (ns),spi_master_tb.dut.tx_shift_reg
0,b0
330000,b1010101001010101
430000,b101010010101010
590000,b1010100101010100
750000,b101001010101000
910000,b1010010101010000
1070000,b100101010100000
1230000,b1001010101000000
1390000,b10101010000000
1550000,b101010100000000
1710000,b1010101000000000
1870000,b101010000000000
2030000,b1010100000000000
2190000,b101000000000000
2350000,b1010000000000000
2510000,b100000000000000
2670000,b1000000000000000
2830000,b0
3150000,b101010101010101
3250000,b1010101010101010
3410000,b101010101010100
3570000,b1010101010101000
3730000,b101010101010000
3890000,b1010101010100000
4050000,b101010101000000
4210000,b1010101010000000
4370000,b101010100000000
4530000,b1010101000000000
4690000,b101010000000000
4850000,b1010100000000000
5010000,b101000000000000
5170000,b1010000000000000
5330000,b100000000000000
5490000,b1000000000000000
5650000,b0
5790000,b101010101010101
5890000,b1010101010101010
6050000,b101010101010100
6210000,b1010101010101000
6370000,b101010101010000
6530000,b1010101010100000
6690000,b101010101000000
6850000,b1010101010000000
7010000,b101010100000000
7170000,b1010101000000000
7330000,b101010000000000
7490000,b1010100000000000
7650000,b101000000000000
7810000,b1010000000000000
7970000,b100000000000000
8130000,b1000000000000000
8290000,b0
8430000,b1111111100000000
8530000,b1111111000000000
8690000,b1111110000000000
8850000,b1111100000000000
9010000,b1111000000000000
9170000,b1110000000000000
9330000,b1100000000000000
9490000,b1000000000000000
9650000,b0
11070000,b1010101111001101
11170000,b101011110011010
11330000,b1010111100110100
11490000,b101111001101000
11650000,b1011110011010000
11810000,b111100110100000
11970000,b1111001101000000
12130000,b1110011010000000
12290000,b1100110100000000
12450000,b1001101000000000
12610000,b11010000000000
12770000,b110100000000000
12930000,b1101000000000000
13090000,b1010000000000000
13250000,b100000000000000
13410000,b1000000000000000
13570000,b0
