Signal Name,Width (bits),Total Changes,Current Value
spi_master_tb.dut.ss_n,1,19,1
spi_master_tb.dut.sclk,1,295,0
spi_master_tb.rx_data,16,1,b0
spi_master_tb.dut.mosi,1,79,0
spi_master_tb.dut.irq,1,19,0
spi_master_tb.dut.busy,1,19,0
spi_master_tb.DATA_WIDTH,32,1,b10000
spi_master_tb.MODE,32,1,b0
spi_master_tb.NUM_SLAVES,32,1,b1
spi_master_tb.dut.clk,1,140204,1
spi_master_tb.dut.miso,1,5,0
spi_master_tb.dut.rst_n,1,2,1
spi_master_tb.dut.start_rx,1,9,0
spi_master_tb.dut.start_tx,1,13,0
spi_master_tb.tx_data,16,7,b1001000110100
spi_master_tb.dut.CPHA,1,1,0
spi_master_tb.dut.CPOL,1,1,0
spi_master_tb.dut.SS_ACTIVE,1,1,0
spi_master_tb.dut.tx_data,16,7,b1001000110100
spi_master_tb.dut.COMPLETE,3,1,b100
spi_master_tb.dut.DATA_WIDTH,32,1,b10000
spi_master_tb.dut.IDLE,3,1,b0
spi_master_tb.dut.MODE,32,1,b0
spi_master_tb.dut.MSB_FIRST,32,1,b1
spi_master_tb.dut.NUM_SLAVES,32,1,b1
spi_master_tb.dut.RECEIVE,3,1,b11
spi_master_tb.dut.SCLK_HALF_PERIOD,32,1,b11111010
spi_master_tb.dut.SETUP,3,1,b1
spi_master_tb.dut.SLAVE_ACTIVE_LOW,32,1,b1
spi_master_tb.dut.TRANSMIT,3,1,b10
spi_master_tb.dut.bit_counter,5,153,b10000
spi_master_tb.dut.clk_counter,16,69778,b0
spi_master_tb.dut.last_sclk,1,291,0
spi_master_tb.dut.next_state,3,35,b0
spi_master_tb.dut.rx_data,16,1,b0
spi_master_tb.dut.rx_shift_reg,16,69,b0
spi_master_tb.dut.sclk_gen,1,290,0
spi_master_tb.dut.state,3,37,b0
spi_master_tb.dut.tx_shift_reg,16,143,b0
