Time (ns),spi_master_tb.dut.bit_counter
0,b0
5350000,b1
15350000,b10
25350000,b11
35350000,b100
45350000,b101
55350000,b110
65350000,b111
75350000,b1000
85350000,b1001
95350000,b1010
105350000,b1011
115350000,b1100
125350000,b1101
135350000,b1110
145350000,b1111
155350000,b10000
156370000,b0
161410000,b1
171410000,b10
181410000,b11
191410000,b100
201410000,b101
211410000,b110
221410000,b111
231410000,b1000
241410000,b1001
251410000,b1010
261410000,b1011
271410000,b1100
281410000,b1101
291410000,b1110
301410000,b1111
311410000,b10000
311470000,b0
316510000,b1
326510000,b10
336510000,b11
346510000,b100
356510000,b101
366510000,b110
376510000,b111
386510000,b1000
396510000,b1001
406510000,b1010
416510000,b1011
426510000,b1100
436510000,b1101
446510000,b1110
456510000,b1111
466510000,b10000
467070000,b0
472110000,b1
482110000,b10
492110000,b11
502110000,b100
512110000,b101
522110000,b110
532110000,b111
542110000,b1000
552110000,b1001
562110000,b1010
572110000,b1011
582110000,b1100
592110000,b1101
602110000,b1110
612110000,b1111
622110000,b10000
622630000,b0
627670000,b1
637670000,b10
647670000,b11
657670000,b100
667670000,b101
677670000,b110
687670000,b111
697670000,b1000
707670000,b1001
717670000,b1010
727670000,b1011
737670000,b1100
747670000,b1101
757670000,b1110
767670000,b1111
777670000,b10000
778190000,b0
783230000,b1
793230000,b10
803230000,b11
813230000,b100
823230000,b101
833230000,b110
843230000,b111
853230000,b1000
863230000,b1001
873230000,b1010
883230000,b1011
893230000,b1100
903230000,b1101
913230000,b1110
923230000,b1111
933230000,b10000
933550000,b0
938590000,b1
948590000,b10
958590000,b11
968590000,b100
978590000,b101
988590000,b110
998590000,b111
1008590000,b1000
1018590000,b1001
1028590000,b1010
1038590000,b1011
1048590000,b1100
1058590000,b1101
1068590000,b1110
1078590000,b1111
1088590000,b10000
1088910000,b0
1093950000,b1
1103950000,b10
1113950000,b11
1123950000,b100
1133950000,b101
1143950000,b110
1153950000,b111
1163950000,b1000
1173950000,b1001
1183950000,b1010
1193950000,b1011
1203950000,b1100
1213950000,b1101
1223950000,b1110
1233950000,b1111
1243950000,b10000
1244970000,b0
1250010000,b1
1260010000,b10
1270010000,b11
1280010000,b100
1290010000,b101
1300010000,b110
1310010000,b111
1320010000,b1000
1330010000,b1001
1340010000,b1010
1350010000,b1011
1360010000,b1100
1370010000,b1101
1380010000,b1110
1390010000,b1111
1400010000,b10000
