Time (ns),spi_master_tb.dut.clk_counter
0,b0
350000,b1
370000,b10
390000,b11
410000,b100
430000,b101
450000,b110
470000,b111
490000,b1000
510000,b1001
530000,b1010
550000,b1011
570000,b1100
590000,b1101
610000,b1110
630000,b1111
650000,b10000
670000,b10001
690000,b10010
710000,b10011
730000,b10100
750000,b10101
770000,b10110
790000,b10111
810000,b11000
830000,b11001
850000,b11010
870000,b11011
890000,b11100
910000,b11101
930000,b11110
950000,b11111
970000,b100000
990000,b100001
1010000,b100010
1030000,b100011
1050000,b100100
1070000,b100101
1090000,b100110
1110000,b100111
1130000,b101000
1150000,b101001
1170000,b101010
1190000,b101011
1210000,b101100
1230000,b101101
1250000,b101110
1270000,b101111
1290000,b110000
1310000,b110001
1330000,b110010
1350000,b110011
1370000,b110100
1390000,b110101
1410000,b110110
1430000,b110111
1450000,b111000
1470000,b111001
1490000,b111010
1510000,b111011
1530000,b111100
1550000,b111101
1570000,b111110
1590000,b111111
1610000,b1000000
1630000,b1000001
1650000,b1000010
1670000,b1000011
1690000,b1000100
1710000,b1000101
1730000,b1000110
1750000,b1000111
1770000,b1001000
1790000,b1001001
1810000,b1001010
1830000,b1001011
1850000,b1001100
1870000,b1001101
1890000,b1001110
1910000,b1001111
1930000,b1010000
1950000,b1010001
1970000,b1010010
1990000,b1010011
2010000,b1010100
2030000,b1010101
2050000,b1010110
2070000,b1010111
2090000,b1011000
2110000,b1011001
2130000,b1011010
2150000,b1011011
2170000,b1011100
2190000,b1011101
2210000,b1011110
2230000,b1011111
2250000,b1100000
2270000,b1100001
2290000,b1100010
2310000,b1100011
2330000,b1100100
2350000,b1100101
2370000,b1100110
2390000,b1100111
2410000,b1101000
2430000,b1101001
2450000,b1101010
2470000,b1101011
2490000,b1101100
2510000,b1101101
2530000,b1101110
2550000,b1101111
2570000,b1110000
2590000,b1110001
2610000,b1110010
2630000,b1110011
2650000,b1110100
2670000,b1110101
2690000,b1110110
2710000,b1110111
2730000,b1111000
2750000,b1111001
2770000,b1111010
2790000,b1111011
2810000,b1111100
2830000,b1111101
2850000,b1111110
2870000,b1111111
2890000,b10000000
2910000,b10000001
2930000,b10000010
2950000,b10000011
2970000,b10000100
2990000,b10000101
3010000,b10000110
3030000,b10000111
3050000,b10001000
3070000,b10001001
3090000,b10001010
3110000,b10001011
3130000,b10001100
3150000,b10001101
3170000,b10001110
3190000,b10001111
3210000,b10010000
3230000,b10010001
3250000,b10010010
3270000,b10010011
3290000,b10010100
3310000,b10010101
3330000,b10010110
3350000,b10010111
3370000,b10011000
3390000,b10011001
3410000,b10011010
3430000,b10011011
3450000,b10011100
3470000,b10011101
3490000,b10011110
3510000,b10011111
3530000,b10100000
3550000,b10100001
3570000,b10100010
3590000,b10100011
3610000,b10100100
3630000,b10100101
3650000,b10100110
3670000,b10100111
3690000,b10101000
3710000,b10101001
3730000,b10101010
3750000,b10101011
3770000,b10101100
3790000,b10101101
3810000,b10101110
3830000,b10101111
3850000,b10110000
3870000,b10110001
3890000,b10110010
3910000,b10110011
3930000,b10110100
3950000,b10110101
3970000,b10110110
3990000,b10110111
4010000,b10111000
4030000,b10111001
4050000,b10111010
4070000,b10111011
4090000,b10111100
4110000,b10111101
4130000,b10111110
4150000,b10111111
4170000,b11000000
4190000,b11000001
4210000,b11000010
4230000,b11000011
4250000,b11000100
4270000,b11000101
4290000,b11000110
4310000,b11000111
4330000,b11001000
4350000,b11001001
4370000,b11001010
4390000,b11001011
4410000,b11001100
4430000,b11001101
4450000,b11001110
4470000,b11001111
4490000,b11010000
4510000,b11010001
4530000,b11010010
4550000,b11010011
4570000,b11010100
4590000,b11010101
4610000,b11010110
4630000,b11010111
4650000,b11011000
4670000,b11011001
