Time (ns),spi_master_tb.dut.next_state
0,b0
300000,b1
310000,b10
155350000,b100
155370000,b0
156370000,b10
311410000,b100
311430000,b0
311450000,b1
311470000,b10
311480000,b10
466510000,b100
466530000,b0
466550000,b1
466560000,b0
467060000,b1
467070000,b10
467090000,b10
622110000,b100
622130000,b0
622630000,b10
777670000,b100
777690000,b0
778190000,b10
933230000,b100
933250000,b0
933550000,b10
1088590000,b100
1088610000,b0
1088910000,b10
1243950000,b100
1243970000,b0
1244970000,b10
1400010000,b100
1400030000,b0
