Time (ns),spi_master_tb.dut.rx_shift_reg
0,b0
316510000,b1
326510000,b11
336510000,b111
346510000,b1111
356510000,b11111
366510000,b111111
376510000,b1111111
386510000,b11111111
396510000,b111111111
406510000,b1111111111
416510000,b11111111111
426510000,b111111111111
436510000,b1111111111111
446510000,b11111111111111
456510000,b111111111111111
466510000,b1111111111111111
467070000,b0
472110000,b1
482110000,b11
492110000,b111
502110000,b1111
512110000,b11111
522110000,b111111
532110000,b1111111
542110000,b11111111
552110000,b111111111
562110000,b1111111111
572110000,b11111111111
582110000,b111111111111
592110000,b1111111111111
602110000,b11111111111111
612110000,b111111111111111
622110000,b1111111111111111
622630000,b0
627670000,b1
637670000,b11
647670000,b111
657670000,b1111
667670000,b11111
677670000,b111111
687670000,b1111111
697670000,b11111111
707670000,b111111111
717670000,b1111111111
727670000,b11111111111
737670000,b111111111111
747670000,b1111111111111
757670000,b11111111111111
767670000,b111111111111111
777670000,b1111111111111111
778190000,b0
783230000,b1
793230000,b11
803230000,b111
813230000,b1111
823230000,b11111
833230000,b111111
843230000,b1111111
853230000,b11111111
863230000,b111111111
873230000,b1111111111
883230000,b11111111111
893230000,b111111111111
903230000,b1111111111111
913230000,b11111111111111
923230000,b111111111111111
933230000,b1111111111111111
933550000,b0
